id	data_size	infer_time	accuracy	
139	158.019	0.5	0.297	
285	327.989	0.21	1.0	
632	152.019	0.48	0.628	
724	127.058	0.25	0.384	
776	172.275	0.28	0.208	
785	130.541	0.26	0.4	
802	60.943	0.25	0.9	
872	310.224	0.2	0.217	
885	108.829	0.33	0.669	
1000	313.609	0.4	0.332	
1268	176.515	0.31	0.349	
1296	200.028	0.34	0.389	
1353	81.087	0.27	0.036	
1425	108.7	0.24	0.7	
1490	98.729	0.26	0.65	
1503	14.901	0.25	0.776	
1532	169.943	0.31	0.372	
1584	134.963	0.29	0.573	
1675	95.354	0.26	0.675	
1761	113.12	0.26	0.327	
1818	198.358	0.25	0.15	
1993	107.861	0.29	0.475	
2006	197.841	0.29	0.518	
2149	51.472	0.3	0.2	
2153	132.846	0.29	0.486	
2157	121.79	0.45	0.498	
2261	193.178	0.24	0.4	
2299	101.14	0.46	0.456	
2431	137.816	0.41	0.581	
2473	93.538	0.27	0.644	
2532	205.445	0.23	0.4	
2587	111.145	0.25	0.7	
2592	100.603	0.29	0.844	
2685	266.26	0.48	0.037	
2923	97.444	0.33	0.12	
3156	124.208	0.3	0.333	
3255	155.382	0.33	0.172	
3501	147.181	0.27	0.663	
3553	144.57	0.31	0.512	
3661	100.212	0.33	0.389	
3845	159.759	0.3	0.423	
3934	134.962	0.36	0.253	
4134	156.363	0.48	0.249	
4395	75.429	0.29	0.85	
4495	104.135	0.28	0.9	
4765	136.407	0.2	0.7	
4795	161.95	0.27	0.9	
5001	206.738	0.45	0.301	
5037	177.881	0.33	0.628	
5060	153.642	0.34	0.45	
5193	100.314	0.36	0.762	
5477	151.343	0.28	0.454	
5503	57.243	0.29	0.9	
5529	219.528	0.28	0.35	
5586	35.515	0.39	0.397	
5600	131.405	0.41	0.725	
5992	176.496	0.29	0.821	
6012	162.241	0.3	0.409	
6040	157.324	0.36	0.61	
6213	122.985	0.27	0.454	
6460	117.104	0.24	0.4	
6471	93.862	0.36	0.506	
6614	84.78	0.34	0.525	
6723	195.763	0.33	0.314	
6763	108.429	0.3	0.357	
6771	135.076	0.32	0.441	
6818	75.722	0.29	0.8	
6894	116.656	0.29	0.6	
6954	260.347	0.3	0.645	
7088	256.847	0.25	0.625	
7108	157.989	0.3	0.545	
7278	285.07	0.26	0.4	
7281	134.188	0.31	0.522	
7386	207.008	0.35	0.504	
7511	132.518	0.37	0.443	
7574	160.145	0.51	0.553	
7784	64.083	0.23	0.9	
7795	150.001	0.28	0.145	
7816	167.687	0.33	0.547	
7818	106.188	0.32	0.372	
7888	129.277	0.21	0.85	
7977	201.893	0.29	0.377	
7991	189.808	0.5	0.5	
8021	175.867	0.29	0.606	
8211	262.076	0.32	0.4	
8277	202.029	0.29	0.228	
8532	107.238	0.25	0.9	
8629	225.681	0.29	0.488	
8690	240.741	0.3	0.302	
8762	47.768	0.32	0.511	
8844	109.205	0.41	0.436	
8899	278.002	0.22	0.45	
9378	114.917	0.33	0.555	
9400	102.538	0.45	0.422	
9448	331.494	0.25	0.95	
9483	114.029	0.31	0.742	
9590	152.271	0.52	0.446	
9769	319.678	0.28	0.519	
9772	239.828	0.35	0.734	
9891	128.708	0.4	0.384	
9914	158.741	0.33	0.454	
10092	146.893	0.29	0.228	
10363	93.875	0.36	0.625	
10583	218.519	0.25	0.734	
10707	118.194	0.43	0.394	
10764	198.188	0.27	0.7	
10977	53.614	0.26	0.75	
10995	71.576	0.23	1.0	
11051	78.848	0.28	0.75	
11122	234.097	0.26	1.0	
11149	172.619	0.27	0.684	
11197	173.043	0.4	0.476	
11511	183.754	0.27	0.551	
11615	108.408	0.23	0.0	
11699	224.982	0.36	0.543	
11760	278.129	0.29	0.9	
11813	73.035	0.33	0.8	
12062	221.811	0.26	0.244	
12120	134.624	0.52	0.211	
12280	165.058	0.29	0.516	
12576	239.023	0.44	0.584	
12639	270.034	0.43	0.571	
12667	79.815	0.26	0.9	
12670	183.352	0.48	0.335	
12748	187.793	0.25	0.484	
13004	126.138	0.26	0.65	
13177	199.574	0.38	0.738	
13201	147.675	0.25	0.75	
13291	121.958	0.3	0.664	
13348	160.635	0.37	0.364	
13546	127.335	0.29	0.432	
13597	84.878	0.26	0.35	
