id	data_size	infer_time	accuracy	
139	158.019	92.752	0.29	
285	327.989	91.78	1.0	
632	152.019	95.717	0.204	
724	127.058	66.846	0.629	
776	172.275	62.831	0.38	
785	130.541	90.758	0.95	
802	60.943	61.81	0.925	
872	310.224	99.73	0.431	
885	108.829	88.737	0.606	
1000	313.609	94.746	0.594	
1268	176.515	90.757	0.578	
1296	200.028	61.811	0.609	
1353	81.087	66.821	0.458	
1425	108.7	95.72	0.825	
1490	98.729	53.829	0.802	
1503	14.901	95.744	0.875	
1532	169.943	94.72	0.686	
1584	134.963	97.715	0.498	
1675	95.354	94.722	0.126	
1761	113.12	61.835	0.259	
1818	198.358	89.734	0.925	
1993	107.861	90.757	0.703	
2006	197.841	95.743	0.417	
2149	51.472	89.76	0.617	
2153	132.846	95.743	0.877	
2157	121.79	89.758	0.535	
2261	193.178	89.733	0.801	
2299	101.14	81.782	0.339	
2431	137.816	65.8	0.666	
2473	93.538	90.73	0.941	
2532	205.445	65.825	0.802	
2587	111.145	95.743	0.477	
2592	100.603	79.787	1.0	
2685	266.26	87.765	0.328	
2923	97.444	94.746	0.242	
3156	124.208	62.831	0.663	
3255	155.382	78.765	0.272	
3501	147.181	97.714	0.435	
3553	144.57	90.406	0.9	
3661	100.212	79.787	0.631	
3845	159.759	95.719	0.467	
3934	134.962	66.821	0.481	
4134	156.363	89.733	0.372	
4395	75.429	62.82	0.95	
4495	104.135	95.769	1.0	
4765	136.407	97.74	0.901	
4795	161.95	94.77	0.866	
5001	206.738	93.774	0.435	
5037	177.881	89.357	0.644	
5060	153.642	65.847	0.604	
5193	100.314	89.761	0.615	
5477	151.343	54.854	0.505	
5503	57.243	62.804	0.317	
5529	219.528	60.837	0.601	
5586	35.515	97.762	0.259	
5600	131.405	78.788	0.765	
5992	176.496	89.735	0.921	
6012	162.241	105.691	0.85	
6040	157.324	54.825	0.403	
6213	122.985	89.761	0.227	
6460	117.104	89.76	0.604	
6471	93.862	89.736	0.586	
6614	84.78	94.719	0.901	
6723	195.763	80.783	0.483	
6763	108.429	68.817	0.458	
6771	135.076	90.757	0.681	
6818	75.722	60.862	0.0	
6894	116.656	94.722	0.202	
6954	260.347	93.749	0.843	
7088	256.847	65.824	0.644	
7108	157.989	90.757	0.917	
7278	285.07	94.747	0.353	
7281	134.188	79.787	0.417	
7386	207.008	90.757	0.792	
7511	132.518	94.746	0.291	
7574	160.145	95.744	0.458	
7784	64.083	93.749	1.0	
7795	150.001	90.758	0.356	
7816	167.687	88.763	0.629	
7818	106.188	90.758	0.467	
7888	129.277	95.743	0.85	
7977	201.893	60.838	0.286	
7991	189.808	78.79	0.51	
8021	175.867	95.744	0.559	
8211	262.076	93.749	0.404	
8277	202.029	98.707	0.271	
8532	107.238	91.731	0.95	
8629	225.681	97.739	0.743	
8690	240.741	95.744	0.465	
8762	47.768	90.755	0.529	
8844	109.205	89.759	0.522	
8899	278.002	107.712	0.603	
9378	114.917	90.758	0.386	
9400	102.538	95.769	0.454	
9448	331.494	86.796	0.95	
9483	114.029	95.769	0.609	
9590	152.271	89.785	0.419	
9769	319.678	97.763	0.41	
9772	239.828	86.768	0.734	
9891	128.708	95.743	0.39	
9914	158.741	94.748	0.58	
10092	146.893	89.735	0.199	
10363	93.875	79.787	0.728	
10583	218.519	96.739	0.529	
10707	118.194	97.739	0.549	
10764	198.188	90.781	0.604	
10977	53.614	95.744	0.751	
10995	71.576	94.719	0.7	
11051	78.848	106.739	0.966	
11122	234.097	95.743	0.9	
11149	172.619	94.748	0.845	
11197	173.043	91.757	0.482	
11511	183.754	95.719	0.247	
11615	108.408	65.8	0.0	
11699	224.982	65.823	0.649	
11760	278.129	90.757	0.911	
11813	73.035	62.832	0.338	
12062	221.811	91.755	0.406	
12120	134.624	89.35	0.24	
12280	165.058	66.822	0.524	
12576	239.023	63.805	0.683	
12639	270.034	63.805	0.621	
12667	79.815	94.746	0.8	
12670	183.352	92.751	0.516	
12748	187.793	65.824	0.663	
13004	126.138	66.822	0.85	
13177	199.574	91.728	0.674	
13201	147.675	61.835	0.925	
13291	121.958	91.754	0.9	
13348	160.635	88.361	0.238	
13546	127.335	90.756	0.751	
13597	84.878	88.932	1.0	
13659	210.246	94.723	0.649	
13729	112.784	93.749	0.484	
13774	169.372	93.732	0.9	
13923	180.464	90.758	0.457	
14007	113.231	89.759	0.752	
14038	174.276	89.76	0.191	
14226	103.304	95.276	0.532	
14380	198.351	91.755	0.851	
14439	190.653	79.606	0.756	
14473	162.505	90.733	0.848	
14831	204.56	66.063	0.505	
14888	194.508	95.719	1.0	
15079	103.724	90.733	0.621	
15254	118.004	89.76	0.552	
15272	336.492	60.813	1.0	
