id	data_size	infer_time	accuracy	
139	158.019	53.856	0.279	
285	327.989	60.837	1.0	
632	152.019	73.803	0.218	
724	127.058	55.826	0.505	
776	172.275	60.812	0.604	
785	130.541	57.845	0.851	
802	60.943	48.87	0.95	
872	310.224	65.824	0.493	
885	108.829	50.865	0.564	
1000	313.609	59.512	0.689	
1268	176.515	51.447	0.634	
1296	200.028	49.866	0.528	
1353	81.087	54.855	0.484	
1425	108.7	73.779	0.825	
1490	98.729	34.907	0.901	
1503	14.901	60.837	0.858	
1532	169.943	58.843	0.698	
1584	134.963	63.101	0.427	
1675	95.354	59.841	0.554	
1761	113.12	47.872	0.259	
1818	198.358	50.863	0.604	
1993	107.861	49.843	0.703	
2006	197.841	58.843	0.494	
2149	51.472	50.864	0.37	
2153	132.846	58.869	0.838	
2157	121.79	51.838	0.516	
2261	193.178	52.86	0.801	
2299	101.14	49.03	0.369	
2431	137.816	53.857	0.689	
2473	93.538	49.867	0.863	
2532	205.445	52.859	0.901	
2587	111.145	58.843	0.477	
2592	100.603	47.897	0.663	
2685	266.26	65.797	0.344	
2923	97.444	58.843	0.151	
3156	124.208	48.87	0.663	
3255	155.382	47.017	0.258	
3501	147.181	65.824	0.555	
3553	144.57	51.861	0.735	
3661	100.212	46.875	0.866	
3845	159.759	58.867	0.604	
3934	134.962	54.849	0.435	
4134	156.363	52.859	0.372	
4395	75.429	49.866	0.925	
4495	104.135	59.84	0.955	
4765	136.407	63.83	0.95	
4795	161.95	58.868	0.866	
5001	206.738	58.843	0.327	
5037	177.881	52.883	0.71	
5060	153.642	53.829	0.571	
5193	100.314	50.894	0.726	
5477	151.343	35.929	0.505	
5503	57.243	48.869	0.05	
5529	219.528	47.872	0.601	
5586	35.515	59.84	0.258	
5600	131.405	46.875	0.733	
5992	176.496	52.859	0.9	
6012	162.241	76.794	0.584	
6040	157.324	32.912	0.413	
6213	122.985	49.866	0.404	
6460	117.104	49.866	0.703	
6471	93.862	50.863	0.5	
6614	84.78	73.803	0.0	
6723	195.763	46.874	0.5	
6763	108.429	53.856	0.474	
6771	135.076	51.837	0.701	
6818	75.722	48.894	0.8	
6894	116.656	59.812	0.351	
6954	260.347	57.846	0.801	
7088	256.847	54.854	0.644	
7108	157.989	52.858	0.891	
7278	285.07	74.776	0.901	
7281	134.188	46.9	0.357	
7386	207.008	50.863	0.723	
7511	132.518	59.024	0.254	
7574	160.145	57.845	0.449	
7784	64.083	58.87	1.0	
7795	150.001	50.864	0.356	
7816	167.687	49.891	0.631	
7818	106.188	50.89	0.493	
7888	129.277	63.827	0.901	
7977	201.893	50.865	0.269	
7991	189.808	46.838	0.533	
8021	175.867	58.818	0.545	
8211	262.076	56.877	0.404	
8277	202.029	65.824	0.147	
8532	107.238	50.864	0.95	
8629	225.681	63.805	0.817	
8690	240.741	61.752	0.525	
8762	47.768	51.375	0.614	
8844	109.205	49.867	0.358	
8899	278.002	76.795	0.8	
9378	114.917	51.886	0.291	
9400	102.538	57.845	0.443	
9448	331.494	59.84	1.0	
9483	114.029	58.84	0.632	
9590	152.271	52.268	0.438	
9769	319.678	59.84	0.384	
9772	239.828	58.815	0.653	
9891	128.708	59.84	0.444	
9914	158.741	57.872	0.548	
10092	146.893	51.388	0.124	
10363	93.875	47.437	0.727	
10583	218.519	64.853	0.347	
10707	118.194	59.814	0.514	
10764	198.188	50.465	0.604	
10977	53.614	60.855	0.802	
10995	71.576	57.82	0.65	
11051	78.848	74.933	0.966	
11122	234.097	58.569	0.3	
11149	172.619	58.842	0.822	
11197	173.043	50.863	0.524	
11511	183.754	60.014	0.287	
11615	108.408	52.859	0.0	
11699	224.982	53.857	0.661	
11760	278.129	50.867	1.0	
11813	73.035	48.894	0.702	
12062	221.811	51.861	0.417	
12120	134.624	50.236	0.289	
12280	165.058	54.827	0.536	
12576	239.023	53.829	0.613	
12639	270.034	53.039	0.614	
12667	79.815	58.818	0.8	
12670	183.352	50.863	0.496	
12748	187.793	54.828	0.663	
13004	126.138	52.861	0.0	
13177	199.574	50.865	0.715	
13201	147.675	48.87	0.85	
13291	121.958	53.021	0.911	
13348	160.635	51.862	0.256	
13546	127.335	52.251	0.629	
13597	84.878	49.867	0.505	
13659	210.246	59.84	0.708	
13729	112.784	58.845	0.472	
13774	169.372	59.84	0.9	
13923	180.464	51.835	0.492	
14007	113.231	49.864	0.851	
14038	174.276	49.89	0.241	
14226	103.304	59.84	0.48	
14380	198.351	50.828	0.454	
14439	190.653	50.863	0.566	
14473	162.505	51.862	0.795	
14831	204.56	53.832	0.505	
14888	194.508	58.985	1.0	
15079	103.724	49.866	0.721	
15254	118.004	49.867	0.619	
15272	336.492	48.845	1.0	
15278	166.915	58.842	0.333	
15335	222.169	58.493	0.357	
15338	208.898	50.889	0.75	
15440	126.367	47.873	0.723	
15497	70.921	59.84	0.631	
15517	190.054	57.869	0.446	
15597	143.945	47.886	0.631	
15660	125.176	33.909	0.695	
15746	191.444	49.897	1.0	
15751	114.343	51.861	0.345	
15956	186.845	58.846	0.629	
16010	164.896	59.038	0.261	
16228	183.206	52.862	0.448	
16249	113.855	58.842	0.586	
16439	99.573	57.736	0.95	
16451	224.671	66.821	0.23	
16502	87.714	54.854	1.0	
16598	207.692	53.453	0.865	
16958	151.617	50.014	0.654	
17029	341.733	63.829	0.725	
17031	110.356	52.859	1.0	
17115	343.283	51.862	0.9	
17178	162.692	50.864	0.679	
17182	102.935	49.841	0.148	
17207	131.68	59.84	0.792	
17379	175.54	53.881	0.669	
17436	126.814	53.856	0.7	
17627	182.591	58.867	0.639	
17714	165.194	57.873	0.416	
17899	277.527	53.832	0.454	
17905	181.116	53.856	0.303	
17959	118.808	51.861	0.155	
18150	200.569	57.846	0.698	
18193	100.233	58.867	0.674	
18380	273.106	50.84	0.555	
18491	106.977	49.866	0.639	
18519	180.331	60.838	0.9	
18575	148.134	60.837	0.166	
18737	168.885	51.862	0.9	
18770	85.501	50.511	0.603	
18833	83.245	51.864	0.6	
18837	219.125	58.846	0.54	
19042	193.268	48.869	0.303	
19109	259.661	51.862	0.567	
