id	data_size	infer_time	accuracy	
139	158.019	18.951	0.163	
285	327.989	28.923	0.9	
632	152.019	25.931	0.183	
724	127.058	22.938	0.431	
776	172.275	20.92	0.529	
785	130.541	14.96	0.901	
802	60.943	16.955	0.702	
872	310.224	20.918	0.256	
885	108.829	16.954	0.391	
1000	313.609	25.902	0.507	
1268	176.515	16.951	0.439	
1296	200.028	16.954	0.281	
1353	81.087	19.946	0.253	
1425	108.7	18.976	0.75	
1490	98.729	21.965	0.851	
1503	14.901	14.963	0.693	
1532	169.943	14.961	0.458	
1584	134.963	20.945	0.363	
1675	95.354	15.929	0.851	
1761	113.12	16.953	0.245	
1818	198.358	17.952	0.454	
1993	107.861	16.954	0.719	
2006	197.841	15.954	0.405	
2149	51.472	15.958	0.3	
2153	132.846	15.928	0.669	
2157	121.79	18.973	0.364	
2261	193.178	17.952	0.454	
2299	101.14	23.912	0.356	
2431	137.816	16.93	0.554	
2473	93.538	16.956	0.826	
2532	205.445	16.954	0.751	
2587	111.145	16.955	0.252	
2592	100.603	22.962	0.337	
2685	266.26	24.974	0.243	
2923	97.444	16.927	0.13	
3156	124.208	16.926	0.614	
3255	155.382	15.957	0.242	
3501	147.181	20.92	0.888	
3553	144.57	15.933	0.227	
3661	100.212	14.961	0.135	
3845	159.759	16.951	0.307	
3934	134.962	17.005	0.312	
4134	156.363	15.951	0.335	
4395	75.429	17.976	0.9	
4495	104.135	16.954	1.0	
4765	136.407	20.919	1.0	
4795	161.95	15.982	0.765	
5001	206.738	14.96	0.314	
5037	177.881	14.988	0.389	
5060	153.642	16.954	0.353	
5193	100.314	14.984	0.718	
5477	151.343	22.915	0.505	
5503	57.243	17.977	1.0	
5529	219.528	16.954	0.403	
5586	35.515	16.982	0.273	
5600	131.405	15.958	0.858	
5992	176.496	15.981	0.891	
6012	162.241	22.939	0.6	
6040	157.324	15.956	0.273	
6213	122.985	15.983	0.05	
6460	117.104	15.971	0.652	
6471	93.862	17.976	0.481	
6614	84.78	18.925	0.505	
6723	195.763	14.985	0.309	
6763	108.429	19.922	0.227	
6771	135.076	16.925	0.591	
6818	75.722	15.958	0.8	
6894	116.656	16.956	0.535	
6954	260.347	16.931	0.728	
7088	256.847	18.926	0.678	
7108	157.989	17.982	0.697	
7278	285.07	18.976	0.454	
7281	134.188	14.96	0.264	
7386	207.008	16.98	0.346	
7511	132.518	15.957	0.192	
7574	160.145	19.95	0.315	
7784	64.083	17.546	1.0	
7795	150.001	16.979	0.188	
7816	167.687	15.933	0.591	
7818	106.188	18.973	0.193	
7888	129.277	20.945	0.85	
7977	201.893	16.954	0.244	
7991	189.808	27.925	0.223	
8021	175.867	24.935	0.474	
8211	262.076	39.893	0.303	
8277	202.029	69.811	0.191	
8532	107.238	50.864	0.925	
8629	225.681	41.403	0.806	
8690	240.741	23.936	0.353	
8762	47.768	22.942	0.464	
8844	109.205	24.934	0.172	
8899	278.002	37.901	0.603	
9378	114.917	22.939	0.319	
9400	102.538	34.905	0.397	
9448	331.494	89.275	0.85	
9483	114.029	33.911	0.573	
9590	152.271	32.92	0.307	
9769	319.678	27.926	0.314	
9772	239.828	64.34	0.695	
9891	128.708	35.905	0.24	
9914	158.741	23.935	0.329	
10092	146.893	24.934	0.145	
10363	93.875	31.434	0.452	
10583	218.519	42.738	0.366	
10707	118.194	38.017	0.416	
10764	198.188	61.355	0.604	
10977	53.614	50.865	0.629	
10995	71.576	34.42	1.0	
11051	78.848	49.871	0.9	
11122	234.097	21.944	0.9	
11149	172.619	20.944	0.752	
11197	173.043	20.945	0.266	
11511	183.754	21.456	0.204	
11615	108.408	38.898	0.0	
11699	224.982	20.948	0.438	
11760	278.129	27.926	0.9	
11813	73.035	19.947	0.0	
12062	221.811	20.946	0.379	
12120	134.624	17.471	0.152	
12280	165.058	19.461	0.146	
12576	239.023	20.942	0.558	
12639	270.034	22.45	0.495	
12667	79.815	22.938	0.9	
12670	183.352	24.938	0.283	
12748	187.793	20.944	0.666	
13004	126.138	21.942	0.303	
13177	199.574	17.951	0.564	
13201	147.675	20.454	0.9	
13291	121.958	20.944	0.861	
13348	160.635	21.941	0.12	
13546	127.335	18.953	0.47	
13597	84.878	17.952	0.404	
13659	210.246	23.936	0.593	
13729	112.784	17.954	0.451	
13774	169.372	15.965	0.9	
13923	180.464	15.957	0.334	
14007	113.231	19.913	0.95	
14038	174.276	18.953	0.1	
14226	103.304	18.949	0.345	
14380	198.351	18.95	0.404	
14439	190.653	19.947	0.541	
14473	162.505	19.459	0.669	
14831	204.56	18.949	0.0	
14888	194.508	18.949	0.9	
15079	103.724	19.463	0.715	
15254	118.004	16.955	0.617	
15272	336.492	16.955	0.0	
15278	166.915	17.952	0.18	
15335	222.169	14.473	0.197	
15338	208.898	19.947	0.344	
15440	126.367	21.942	0.531	
15497	70.921	15.957	0.614	
15517	190.054	15.47	0.203	
15597	143.945	16.954	0.631	
15660	125.176	18.95	0.616	
15746	191.444	18.949	1.0	
15751	114.343	16.467	0.232	
15956	186.845	16.955	0.678	
16010	164.896	15.958	0.234	
16228	183.206	19.947	0.335	
16249	113.855	17.953	0.437	
16439	99.573	15.957	0.95	
16451	224.671	23.936	0.257	
16502	87.714	18.463	0.9	
16598	207.692	18.95	0.663	
