id	data_size	infer_time	accuracy	
139	158.019	26.928	0.25	
285	327.989	29.894	1.0	
632	152.019	32.912	0.2	
724	127.058	26.962	0.48	
776	172.275	25.956	0.405	
785	130.541	24.934	0.901	
802	60.943	19.946	0.9	
872	310.224	26.903	0.38	
885	108.829	24.936	0.424	
1000	313.609	25.93	0.632	
1268	176.515	23.936	0.487	
1296	200.028	19.972	0.604	
1353	81.087	20.921	0.377	
1425	108.7	27.894	0.825	
1490	98.729	24.933	0.802	
1503	14.901	26.927	0.842	
1532	169.943	25.905	0.669	
1584	134.963	27.901	0.402	
1675	95.354	25.931	0.505	
1761	113.12	19.944	0.259	
1818	198.358	24.91	0.701	
1993	107.861	22.938	0.703	
2006	197.841	25.906	0.418	
2149	51.472	24.934	0.3	
2153	132.846	26.927	0.782	
2157	121.79	24.934	0.583	
2261	193.178	23.937	0.404	
2299	101.14	44.88	0.545	
2431	137.816	20.945	0.608	
2473	93.538	24.934	0.881	
2532	205.445	21.942	0.702	
2587	111.145	26.928	0.505	
2592	100.603	24.91	0.631	
2685	266.26	28.921	0.238	
2923	97.444	26.927	0.228	
3156	124.208	19.973	0.576	
3255	155.382	20.917	0.3	
3501	147.181	26.934	0.367	
3553	144.57	23.936	0.9	
3661	100.212	20.945	0.598	
3845	159.759	25.907	0.51	
3934	134.962	21.942	0.414	
4134	156.363	24.932	0.313	
4395	75.429	19.972	0.925	
4495	104.135	26.929	1.0	
4765	136.407	27.926	0.901	
4795	161.95	25.904	0.757	
5001	206.738	24.933	0.353	
5037	177.881	24.957	0.385	
5060	153.642	19.973	0.604	
5193	100.314	24.933	0.725	
5477	151.343	25.93	0.505	
5503	57.243	22.939	0.9	
5529	219.528	19.946	0.353	
5586	35.515	26.928	0.251	
5600	131.405	20.968	0.934	
5992	176.496	23.963	0.897	
6012	162.241	29.92	0.6	
6040	157.324	17.976	0.287	
6213	122.985	24.96	0.353	
6460	117.104	22.97	0.619	
6471	93.862	23.965	0.514	
6614	84.78	27.949	0.0	
6723	195.763	20.943	0.401	
6763	108.429	21.966	0.234	
6771	135.076	24.932	0.676	
6818	75.722	19.946	0.8	
6894	116.656	26.928	0.292	
6954	260.347	25.955	0.774	
7088	256.847	20.968	0.678	
7108	157.989	24.932	0.762	
7278	285.07	27.168	0.851	
7281	134.188	19.947	0.253	
7386	207.008	24.931	0.537	
7511	132.518	26.904	0.208	
7574	160.145	24.933	0.336	
7784	64.083	25.931	1.0	
7795	150.001	25.123	0.356	
7816	167.687	23.936	0.617	
7818	106.188	24.911	0.323	
7888	129.277	26.867	0.901	
7977	201.893	19.947	0.278	
7991	189.808	20.971	0.554	
8021	175.867	25.903	0.53	
8211	262.076	23.969	0.358	
8277	202.029	26.905	0.214	
8532	107.238	24.91	0.95	
8629	225.681	26.93	0.756	
8690	240.741	25.954	0.382	
8762	47.768	24.958	0.55	
8844	109.205	23.912	0.34	
8899	278.002	29.895	0.404	
9378	114.917	24.906	0.37	
9400	102.538	26.928	0.43	
9448	331.494	27.926	0.95	
9483	114.029	25.904	0.598	
9590	152.271	23.935	0.366	
9769	319.678	26.928	0.538	
9772	239.828	24.934	0.839	
9891	128.708	25.931	0.363	
9914	158.741	25.932	0.565	
10092	146.893	23.968	0.217	
10363	93.875	20.97	0.518	
10583	218.519	27.902	0.434	
10707	118.194	26.928	0.61	
10764	198.188	23.973	0.769	
10977	53.614	26.952	0.628	
10995	71.576	24.957	0.9	
11051	78.848	30.918	0.966	
11122	234.097	25.933	0.9	
11149	172.619	25.907	0.856	
11197	173.043	24.934	0.403	
11511	183.754	25.953	0.27	
11615	108.408	19.946	0.0	
11699	224.982	19.947	0.59	
11760	278.129	24.934	0.911	
11813	73.035	19.946	0.0	
12062	221.811	23.912	0.488	
12120	134.624	22.914	0.279	
12280	165.058	21.917	0.491	
12576	239.023	19.921	0.626	
12639	270.034	20.945	0.539	
12667	79.815	25.931	0.8	
12670	183.352	24.957	0.336	
12748	187.793	21.941	0.865	
13004	126.138	19.972	0.0	
13177	199.574	23.96	0.765	
13201	147.675	19.947	0.85	
13291	121.958	24.908	0.906	
13348	160.635	22.939	0.161	
13546	127.335	22.938	0.64	
13597	84.878	23.935	0.925	
13659	210.246	25.93	0.634	
13729	112.784	24.909	0.491	
13774	169.372	25.93	0.9	
13923	180.464	24.934	0.411	
14007	113.231	22.938	0.901	
14038	174.276	22.938	0.108	
14226	103.304	25.931	0.279	
14380	198.351	24.933	0.404	
14439	190.653	22.939	0.499	
14473	162.505	23.937	0.786	
14831	204.56	19.971	0.505	
14888	194.508	25.931	0.9	
15079	103.724	23.912	0.638	
15254	118.004	23.912	0.532	
15272	336.492	19.949	1.0	
15278	166.915	25.931	0.1	
15335	222.169	24.938	0.286	
15338	208.898	24.959	0.735	
15440	126.367	25.955	0.564	
15497	70.921	25.954	1.0	
15517	190.054	24.956	0.362	
15597	143.945	20.921	0.733	
15660	125.176	25.956	0.77	
15746	191.444	22.939	1.0	
15751	114.343	24.933	0.552	
15956	186.845	26.929	0.579	
16010	164.896	25.932	0.313	
16228	183.206	24.933	0.485	
16249	113.855	25.933	0.57	
16439	99.573	23.935	0.95	
16451	224.671	26.952	0.308	
16502	87.714	20.947	0.9	
16598	207.692	19.97	0.933	
16958	151.617	24.933	0.624	
17029	341.733	26.928	0.781	
17031	110.356	25.907	1.0	
17115	343.283	19.923	0.925	
17178	162.692	24.906	0.743	
17182	102.935	23.936	0.09	
17207	131.68	25.931	0.769	
17379	175.54	21.917	0.709	
17436	126.814	26.928	0.433	
17627	182.591	25.903	0.611	
17714	165.194	25.958	0.299	
17899	277.527	20.969	0.382	
17905	181.116	19.951	0.151	
17959	118.808	24.958	0.107	
18150	200.569	26.904	0.54	
18193	100.233	25.906	0.568	
18380	273.106	24.936	0.495	
18491	106.977	22.901	0.587	
18519	180.331	27.95	1.0	
18575	148.134	26.928	0.18	
18737	168.885	22.91	1.0	
18770	85.501	23.961	0.652	
18833	83.245	23.936	0.3	
18837	219.125	25.929	0.309	
19042	193.268	20.919	0.151	
19109	259.661	23.907	0.485	
19221	110.054	25.955	0.9	
19402	169.557	25.956	0.465	
19432	218.197	24.929	0.296	
19742	89.203	25.906	1.0	
19786	77.42	25.907	0.311	
19924	99.967	25.906	0.9	
20059	205.389	23.91	0.9	
20107	104.317	20.944	0.9	
20247	154.942	25.93	0.925	
20333	145.604	19.972	0.867	
20553	136.834	26.928	0.2	
20571	236.749	23.96	0.132	
20992	91.13	24.933	0.505	
21167	48.304	19.97	0.703	
21465	142.107	21.917	0.55	
21503	101.332	25.932	0.258	
21604	98.19	20.945	0.95	
21839	213.882	20.919	0.418	
21879	216.396	24.934	0.64	
21903	221.786	25.927	0.664	
22192	83.764	24.91	0.337	
22371	41.827	23.909	1.0	
22396	123.183	26.927	1.0	
22479	95.28	28.922	0.43	
22589	239.104	25.931	0.718	
22623	91.112	24.934	0.0	
22705	100.036	21.917	0.623	
22755	153.552	26.927	0.304	
22892	114.994	24.933	0.525	
22935	140.259	26.928	0.832	
22969	163.599	25.907	1.0	
23023	122.593	27.901	0.95	
23034	245.07	24.91	0.663	
23126	87.83	23.936	0.597	
23230	365.92	25.929	0.541	
23272	147.927	25.93	0.593	
23359	35.854	24.908	0.801	
23666	126.814	20.944	0.8	
23751	138.864	19.946	0.45	
23781	150.091	23.912	0.583	
23899	100.792	23.917	0.206	
23937	195.505	22.939	0.331	
24021	139.652	20.918	0.111	
24027	78.745	25.906	0.8	
24144	332.734	24.953	1.0	
24243	259.865	24.958	0.244	
24567	237.77	21.965	0.691	
24610	96.014	25.93	0.287	
24919	173.128	24.91	0.65	
25057	177.539	22.911	0.512	
25096	121.029	21.939	0.37	
25139	128.775	25.926	0.95	
25181	140.998	23.912	0.227	
25228	160.637	22.941	0.725	
25386	189.605	19.947	0.142	
25393	138.716	25.931	0.444	
25394	115.549	20.944	0.465	
25424	103.904	19.923	0.755	
25560	84.306	25.907	0.728	
25593	315.179	24.901	-1.0	
25603	211.742	25.932	0.428	
25986	179.812	24.908	0.23	
26204	211.038	24.933	0.518	
26465	76.753	26.928	0.592	
26564	94.543	24.933	0.487	
26690	170.22	19.946	0.421	
26926	123.15	19.974	0.866	
26941	203.531	24.936	0.598	
27186	66.932	23.938	0.501	
27620	109.756	25.906	0.716	
27696	169.335	21.941	0.51	
27768	186.776	27.949	0.466	
27932	74.197	25.93	0.0	
27972	195.774	24.933	0.751	
27982	116.752	23.951	0.454	
28285	213.551	23.961	0.9	
28449	152.386	22.946	0.728	
28452	189.1	20.944	0.85	
28809	138.837	27.922	0.254	
28993	260.305	26.952	0.182	
29187	265.161	27.924	0.835	
29393	163.919	26.928	0.406	
29397	197.676	25.959	0.9	
29596	173.774	23.935	0.313	
29640	197.03	22.945	0.228	
29675	193.934	21.94	0.752	
29984	179.636	26.903	0.826	
30213	258.413	25.93	0.331	
30494	205.901	24.909	0.454	
30504	221.441	19.92	0.866	
30675	208.524	20.945	1.0	
30785	209.344	25.929	0.243	
30828	177.125	23.908	0.313	
31050	208.15	20.944	0.2	
31093	143.998	23.911	0.278	
31118	208.349	23.912	0.451	
31217	182.999	22.912	0.633	
31248	102.298	24.933	0.348	
31269	180.17	25.931	0.966	
31296	218.285	24.932	0.327	
31322	261.785	23.936	0.448	
31620	140.202	20.917	0.303	
31735	175.536	26.903	0.525	
31749	296.761	26.927	1.0	
31817	187.739	28.922	0.311	
32038	88.206	22.942	0.505	
32081	142.8	21.941	1.0	
32285	91.019	24.933	1.0	
32334	176.238	25.931	0.482	
32570	200.991	23.912	0.851	
32610	145.847	23.913	0.667	
32735	108.622	23.912	0.419	
32811	90.878	20.918	1.0	
32817	127.162	19.946	0.934	
32861	175.775	20.944	0.851	
32887	186.213	25.93	0.541	
32901	208.764	24.933	0.386	
32941	205.009	21.917	0.481	
33005	155.204	24.933	0.9	
33104	177.355	24.909	0.251	
33109	208.58	25.93	0.508	
33114	139.596	24.934	0.282	
33221	96.407	24.933	0.435	
33368	68.971	19.947	0.532	
33638	150.171	18.949	0.129	
33707	213.572	27.046	0.802	
33759	369.718	25.905	0.525	
33854	191.382	23.936	0.465	
34071	48.056	23.936	0.85	
34139	143.284	26.904	0.463	
34205	115.105	24.933	0.319	
34257	155.679	21.941	0.135	
34417	128.857	26.928	0.538	
34452	212.416	24.933	0.734	
34760	147.889	19.923	0.789	
34873	92.082	25.93	0.454	
35062	124.756	19.92	0.505	
35197	132.787	18.949	0.811	
35279	231.938	25.906	0.711	
35326	122.29	24.933	0.168	
35682	176.335	20.944	0.534	
35770	97.133	19.946	0.129	
35963	305.078	19.946	0.252	
36494	134.416	24.907	0.236	
36539	139.604	20.943	0.722	
36660	131.33	22.494	0.55	
36678	173.516	20.944	0.436	
36844	104.43	25.93	0.367	
36861	119.929	21.941	0.9	
36936	127.25	20.945	0.358	
37670	115.033	25.93	0.307	
37689	160.585	24.933	0.434	
37740	107.603	25.905	0.259	
37751	220.692	24.933	0.616	
37777	39.876	24.934	0.505	
37988	66.374	25.931	0.821	
38048	47.661	24.932	0.554	
38070	76.983	26.927	1.0	
38118	108.604	23.912	0.404	
38210	139.084	19.947	0.544	
38576	107.385	19.946	0.851	
38678	180.661	20.919	0.65	
38825	239.93	24.91	0.901	
38829	208.864	23.935	0.527	
39405	116.066	25.905	0.208	
39477	230.748	24.934	0.203	
39480	75.125	22.938	0.95	
39484	118.442	23.911	0.271	
39551	150.381	23.936	0.867	
39670	413.558	25.93	0.9	
39769	169.073	25.931	0.786	
39785	132.887	25.931	0.324	
39914	155.893	20.92	0.524	
39951	86.374	24.934	0.498	
39956	105.022	23.912	0.8	
40036	236.932	23.935	0.631	
40083	101.711	23.936	0.604	
40471	189.678	19.947	0.154	
40757	132.583	19.947	0.151	
41488	75.77	19.947	-1.0	
41633	153.619	25.93	0.833	
41635	176.197	25.907	0.643	
41872	93.418	24.909	0.826	
41888	276.283	26.953	0.7	
41990	125.609	25.931	0.711	
42070	202.712	26.929	0.337	
42102	93.927	24.933	0.599	
42178	262.153	24.907	0.0	
42276	128.82	22.96	0.751	
42296	201.113	24.957	0.834	
42528	101.491	26.928	0.499	
42563	198.512	25.928	0.9	
42628	165.578	24.906	0.697	
42888	179.771	25.907	-1.0	
42889	103.945	20.944	0.95	
43314	136.84	27.926	0.24	
43435	242.413	26.928	0.471	
43581	91.543	24.933	0.505	
43737	113.714	20.947	0.394	
43816	132.455	23.936	0.76	
44068	94.79	21.965	1.0	
44195	116.08	19.946	0.8	
44260	247.624	24.934	0.362	
44279	162.216	23.936	0.253	
44590	136.173	24.934	0.516	
44652	60.016	24.934	1.0	
44699	221.551	23.936	0.783	
44877	114.87	23.936	0.37	
45070	277.896	24.933	0.553	
45090	81.876	16.955	0.478	
45229	150.457	25.904	0.073	
45472	237.35	24.933	0.407	
45550	101.08	25.931	0.477	
45596	122.812	19.947	0.395	
45728	140.087	26.928	0.0	
46031	195.541	25.906	0.846	
46048	109.602	24.96	0.505	
46252	307.527	25.955	0.802	
46378	130.475	20.972	0.801	
46463	107.898	26.927	0.302	
46497	104.121	25.906	0.686	
46804	295.442	25.954	1.0	
46872	213.142	20.975	0.323	
47010	203.415	25.931	0.934	
47112	184.469	24.909	0.32	
47121	72.141	24.908	0.579	
47571	282.652	25.956	0.698	
47585	166.964	19.947	0.683	
47740	199.585	21.966	0.34	
47769	90.714	26.929	0.525	
47801	154.909	26.951	0.273	
47819	213.408	25.931	0.938	
47828	137.234	16.978	0.524	
48153	224.738	26.956	0.404	
48396	145.057	23.962	0.609	
48504	190.192	23.936	0.332	
48555	97.477	25.906	0.282	
48564	91.016	21.938	0.95	
48924	229.416	24.908	0.303	
49060	160.644	21.941	0.436	
49091	152.101	23.91	-1.0	
49259	262.38	18.926	0.9	
49269	114.894	20.968	0.85	
49759	163.897	25.926	0.759	
49761	138.767	24.91	0.229	
49810	183.307	24.935	0.681	
50006	149.32	25.93	0.195	
50145	50.808	24.934	0.426	
50149	178.939	27.949	0.472	
50165	191.142	24.934	0.7	
50326	36.556	25.954	0.303	
50331	160.688	24.933	0.051	
50380	159.121	24.933	0.753	
50638	237.951	20.94	0.651	
