id	data_size	infer_time	accuracy	
139	158.019	109.878	0.29	
285	327.989	137.633	1.0	
632	152.019	125.692	0.198	
724	127.058	116.687	0.728	
776	172.275	107.739	0.603	
785	130.541	109.683	0.851	
802	60.943	105.693	0.925	
872	310.224	143.616	0.443	
885	108.829	109.682	0.588	
1000	313.609	128.679	0.66	
1268	176.515	108.733	0.59	
1296	200.028	105.742	0.604	
1353	81.087	116.664	0.626	
1425	108.7	125.638	0.825	
1490	98.729	85.795	0.851	
1503	14.901	128.657	0.861	
1532	169.943	126.638	0.701	
1584	134.963	145.635	0.418	
1675	95.354	127.635	0.202	
1761	113.12	105.693	0.259	
1818	198.358	111.678	1.0	
1993	107.861	108.734	0.851	
2006	197.841	129.676	0.543	
2149	51.472	109.683	0.394	
2153	132.846	127.635	0.798	
2157	121.79	111.7	0.568	
2261	193.178	108.686	0.85	
2299	101.14	105.717	0.296	
2431	137.816	113.698	0.608	
2473	93.538	109.705	0.925	
2532	205.445	113.695	0.95	
2587	111.145	128.655	0.477	
2592	100.603	101.703	0.663	
2685	266.26	144.587	0.442	
2923	97.444	128.656	0.22	
3156	124.208	107.687	0.663	
3255	155.382	103.721	0.22	
3501	147.181	147.605	0.772	
3553	144.57	113.692	0.9	
3661	100.212	101.728	0.807	
3845	159.759	129.653	0.604	
3934	134.962	116.689	0.543	
4134	156.363	109.707	0.367	
4395	75.429	105.692	0.925	
4495	104.135	129.654	1.0	
4765	136.407	145.609	0.95	
4795	161.95	128.279	0.765	
5001	206.738	127.658	0.455	
5037	177.881	109.682	0.642	
5060	153.642	114.669	0.604	
5193	100.314	109.707	0.796	
5477	151.343	90.757	0.505	
5503	57.243	107.712	0.35	
5529	219.528	105.693	0.55	
5586	35.515	131.648	0.287	
5600	131.405	101.7	0.822	
5992	176.496	110.704	0.913	
6012	162.241	138.629	0.85	
6040	157.324	87.739	0.384	
6213	122.985	108.709	0.151	
6460	117.104	110.704	0.604	
6471	93.862	109.705	0.557	
6614	84.78	126.661	0.505	
6723	195.763	102.7	0.409	
6763	108.429	116.689	0.601	
6771	135.076	112.7	0.886	
6818	75.722	106.714	0.8	
6894	116.656	127.635	0.317	
6954	260.347	129.629	0.87	
7088	256.847	115.691	0.67	
7108	157.989	109.681	0.842	
7278	285.07	125.661	0.95	
7281	134.188	101.729	0.399	
7386	207.008	112.676	0.851	
7511	132.518	127.633	0.207	
7574	160.145	127.659	0.518	
7784	64.083	128.657	1.0	
7795	150.001	110.704	0.356	
7816	167.687	108.709	0.667	
7818	106.188	108.684	0.443	
7888	129.277	143.592	0.85	
7977	201.893	106.713	0.286	
7991	189.808	101.727	0.663	
8021	175.867	127.654	0.556	
8211	262.076	128.655	0.578	
8277	202.029	146.608	0.2	
8532	107.238	110.703	0.95	
8629	225.681	144.862	0.795	
8690	240.741	128.2	0.505	
8762	47.768	110.704	0.626	
8844	109.205	108.708	0.539	
8899	278.002	139.851	0.552	
9378	114.917	109.731	0.358	
9400	102.538	127.681	0.437	
9448	331.494	136.315	0.925	
9483	114.029	128.657	0.632	
9590	152.271	110.096	0.38	
9769	319.678	128.655	0.384	
9772	239.828	134.664	0.777	
9891	128.708	129.653	0.517	
9914	158.741	127.633	0.543	
10092	146.893	109.333	0.134	
10363	93.875	101.751	0.728	
10583	218.519	146.636	0.566	
10707	118.194	128.227	0.598	
10764	198.188	110.704	0.604	
10977	53.614	129.654	0.652	
10995	71.576	128.68	0.7	
11051	78.848	138.633	0.966	
11122	234.097	128.684	0.9	
11149	172.619	128.656	0.777	
11197	173.043	109.682	0.561	
11511	183.754	127.659	0.306	
11615	108.408	112.722	0.0	
11699	224.982	114.716	0.768	
11760	278.129	109.704	0.911	
11813	73.035	106.754	0.633	
12062	221.811	110.679	0.628	
12120	134.624	108.71	0.244	
12280	165.058	114.668	0.682	
12576	239.023	113.696	0.683	
12639	270.034	114.693	0.615	
12667	79.815	128.655	0.8	
12670	183.352	112.699	0.571	
12748	187.793	115.689	0.663	
13004	126.138	114.67	0.85	
13177	199.574	108.711	0.614	
13201	147.675	106.715	0.85	
13291	121.958	110.703	0.916	
13348	160.635	109.684	0.307	
13546	127.335	109.736	0.749	
13597	84.878	108.71	0.505	
13659	210.246	132.643	0.698	
13729	112.784	127.659	0.494	
13774	169.372	127.701	0.925	
13923	180.464	111.701	0.527	
14007	113.231	109.707	0.454	
14038	174.276	110.704	0.175	
14226	103.304	127.683	0.438	
14380	198.351	109.707	0.85	
14439	190.653	104.694	0.788	
14473	162.505	111.729	0.808	
14831	204.56	114.693	0.505	
14888	194.508	128.632	0.5	
15079	103.724	109.707	0.582	
15254	118.004	110.704	0.593	
15272	336.492	106.74	1.0	
15278	166.915	128.655	0.5	
15335	222.169	127.659	0.481	
15338	208.898	111.702	0.785	
15440	126.367	104.72	0.855	
15497	70.921	128.656	0.955	
15517	190.054	127.659	0.481	
15597	143.945	108.751	0.631	
15660	125.176	88.759	0.833	
15746	191.444	106.715	1.0	
15751	114.343	111.701	0.103	
15956	186.845	127.656	0.454	
16010	164.896	126.634	0.187	
16228	183.206	110.705	0.488	
16249	113.855	129.677	0.735	
16439	99.573	130.201	0.95	
16451	224.671	145.586	0.428	
16502	87.714	115.691	0.9	
16598	207.692	113.725	1.0	
16958	151.617	111.701	0.645	
17029	341.733	146.583	0.855	
17031	110.356	110.704	1.0	
17115	343.283	106.715	0.9	
17178	162.692	110.679	0.719	
17182	102.935	107.712	0.124	
17207	131.68	129.654	0.836	
17379	175.54	114.722	0.643	
17436	126.814	118.659	0.883	
17627	182.591	128.655	0.657	
17714	165.194	127.66	0.37	
17899	277.527	116.713	0.535	
17905	181.116	113.721	0.303	
17959	118.808	109.706	0.156	
18150	200.569	128.632	0.599	
18193	100.233	128.658	0.592	
18380	273.106	110.707	0.627	
18491	106.977	108.712	0.658	
18519	180.331	127.684	0.9	
18575	148.134	130.623	0.184	
18737	168.885	110.73	1.0	
18770	85.501	109.706	0.652	
18833	83.245	107.685	0.7	
18837	219.125	129.654	0.63	
19042	193.268	102.726	0.269	
19109	259.661	109.683	0.563	
19221	110.054	128.655	0.95	
19402	169.557	128.631	0.598	
19432	218.197	127.657	0.421	
19742	89.203	128.632	0.9	
19786	77.42	128.655	0.382	
19924	99.967	139.625	0.95	
20059	205.389	110.68	0.925	
20107	104.317	107.711	1.0	
20247	154.942	128.631	0.9	
20333	145.604	107.711	0.867	
20553	136.834	129.629	0.445	
20571	236.749	125.659	0.232	
20992	91.13	110.704	0.604	
21167	48.304	106.714	0.678	
21465	142.107	103.698	0.801	
21503	101.332	128.657	0.748	
21604	98.19	117.685	0.95	
21839	213.882	114.667	0.444	
21879	216.396	109.705	0.844	
21903	221.786	127.633	0.866	
22192	83.764	111.702	0.337	
22371	41.827	109.706	1.0	
22396	123.183	127.657	1.0	
22479	95.28	141.622	0.431	
22589	239.104	128.656	0.426	
22623	91.112	127.635	0.9	
22705	100.036	115.691	0.711	
22755	153.552	128.631	0.547	
22892	114.994	111.7	0.584	
22935	140.259	129.654	1.0	
22969	163.599	128.655	1.0	
23023	122.593	146.915	0.95	
23034	245.07	110.704	0.897	
23126	87.83	109.276	0.614	
23230	365.92	128.63	0.752	
23272	147.927	126.657	0.925	
23359	35.854	110.704	0.9	
23666	126.814	114.67	0.9	
23751	138.864	108.687	0.0	
23781	150.091	109.706	0.788	
23899	100.792	111.701	0.365	
23937	195.505	111.702	0.498	
24021	139.652	105.717	0.222	
24027	78.745	129.653	0.801	
24144	332.734	127.635	1.0	
24243	259.865	127.634	0.469	
24567	237.77	115.691	0.795	
24610	96.014	128.632	0.382	
24919	173.128	111.676	0.701	
25057	177.539	109.683	0.751	
25096	121.029	114.669	0.55	
25139	128.775	111.679	0.601	
25181	140.998	109.707	0.376	
25228	160.637	108.685	0.676	
25386	189.605	107.688	0.355	
25393	138.716	129.654	0.493	
25394	115.549	116.687	0.515	
25424	103.904	106.69	0.766	
25560	84.306	128.631	0.89	
25593	315.179	127.658	-1.0	
25603	211.742	129.628	0.451	
25986	179.812	127.658	0.228	
26204	211.038	108.71	0.669	
26465	76.753	128.656	0.615	
26564	94.543	110.704	0.338	
26690	170.22	105.692	0.514	
26926	123.15	105.693	0.933	
26941	203.531	110.68	0.644	
27186	66.932	109.705	0.554	
27620	109.756	127.659	0.733	
27696	169.335	105.69	0.48	
27768	186.776	146.584	0.649	
27932	74.197	139.625	0.0	
27972	195.774	109.683	0.725	
27982	116.752	109.706	0.9	
28285	213.551	109.68	0.9	
28449	152.386	109.706	0.817	
28452	189.1	113.672	0.9	
28809	138.837	145.587	0.553	
28993	260.305	147.605	0.295	
29187	265.161	125.662	0.835	
29393	163.919	128.655	0.431	
29397	197.676	127.659	0.95	
29596	173.774	110.679	0.465	
29640	197.03	109.683	0.252	
29675	193.934	114.694	0.752	
29984	179.636	125.638	0.845	
30213	258.413	129.654	0.338	
30494	205.901	127.634	0.454	
30504	221.441	115.69	0.733	
30675	208.524	102.244	1.0	
30785	209.344	128.632	0.175	
